Говядина тушеная ГОСТ Мяспром 325г,89.98 
Говядина тушеная Госрезерв Черепановский 338г,109.99 
Говядина тушеная ГОСТ Потанино 338г,196.98 
Оливки с паприкой Iberica 70г,189.98 
Оливки c красным перцем Iberica 70г,189.98 
Оливки с прованскими травами Iberica 70г,189.98 
Оливки с чесноком и тимьяном Iberica 70г,189.98 
Огурцы маринованные Noyan 920г,229.98 
Икра баклажановая Noyan 370г,179.98 
Овощи печеные Noyan 560г,219.98 
Икра кабачкова Noyan 530г,219.98 
Салат из овощей Noyan 530г ст/б,199.98 
Лечо Noyan 560г,239.98 
Имамбаялды (жаренные овощи) Noyan 560 г,229.98 
Баклажаны в аджике Noyan 550г,209.98 
Горошек зеленый Хайнц 400г,156.98 
Тропические фрукты с ананасом в соке Gold DOLE 227г,119.98 
Каша перловая с говядиной ГОСТ Мяспром 340г,76.98 
Каша гречневая с говядиной ГОСТ Мяспром 340г,76.98 
Грибы Белые соленые КФХ Федорович 350г,399.99 
Капуста белокочанная провансаль Соленья ДВ 400г,159.99 
Свинина тушеная кусковая Елецкий 340г,49.98 
Говядина тушеная кусковая Елецкий 340г,49.98 
Салат Кимчи слабоострый Koyori 500г,289.99 
Грибы опята маринованные Деликон 580г,149.98 
Компот гуава SeiYo 425мл,197.98 
Капуста Пекинская Кимчи 500г,229.99 
Перец острый Халапеньо в соевом соусе 300г,129.99 
Лоба маринованная КФХ Федорович 250г,119.99 
Скумбрия атлантическая натуральная с добавлением масла Делатика 245г,69.98 
Фасоль белая в собственном соку Самбери 425мл,84.98 
Кукурузные початки SeiYo 425мл,159.96 
Компот папайа красная SeiYo 425мл,197.98 
Компот тропический SeiYo 580мл,197.98 
Компот лонган SeiYo 580мл,199.97 
Компот личи SeiYo 580мл,189.96 
Компот джекфрут SeiYo 580мл,227.99 
Компот манго SeiYo 425мл,169.96 
Говядина тушеная высший сорт ГОСТ Агрокомплекс 325г,239.98 
Кабачки маринованные оригинальные Агрокомплекс 720г,146.98 
Огурцы маринованные целые Агрокомплекс 950г,229.98 
Томаты маринованные красные бурые Агрокомплекс 850г,179.98 
Говядина тушеная высший сорт ГОСТ Русский изыскъ 500г,279.98 
Килька балтийская обжаренная в томатном соусе Старая Рига 350г,109.98 
Баклажаны по-Болгарски Агрокомплекс 440г,126.98 
Горох с говядиной ГОСТ Агрокомплекс 325г,109.98 
Икра из обжаренных кабачков Главпродукт 360г,69.98 
Закуска овощная Лютеница без сахара Deroni 265г,189.98 
Маслины с косточкой крупные Всегда Добрый День 425мл,154.69 
Брускетта запеченные оливки/прованские травы Tomtom 140г,229.98 
Брускетта вяленые томаты/кешью Tomtom 140г,229.98 
Брускетта вяленые томаты/запеченные оливки/орехи Tomtom 140г,229.98 
Брускетта вяленые томаты/кедровые орешки Tomtom 140г,229.98 
Энсалада запеченные огурцы/вяленые томаты Tomtom 250г,199.98 
Вяленые томаты дольки Tomtom 100г,169.98 
Икра из запеченного лука с вялеными томатами 250г,179.98 
Икра из запеченных грибов с вялеными томатами Tomtom 250г,229.98 
Капоната запеченные баклажаны/вяленые томаты Tomtom 250г,199.98 
Томаты маринованные красные/бурые Gustus 680г,139.98 
Огурцы соленые целые Gustus 680г,179.98 
Огурцы маринованные целые Gustus 680г,169.98 
Томаты маринованные деликатесные Gustus 680г,149.98 
Грибы маринованные ассорти Gustus 500г,249.98 
Курица филе грудки для салатов Сила 350г,169.98 
Томаты зелень/острый перец Спасский 680г,96.98 
Закуска овощная Айвар острая Deroni 250г,229.98 
Закуска овощная Лютеница острая Deroni 265г,189.98 
Закуска овощная Айвар без сахара Deroni 250г,229.98 
Закуска овощная Брускетта Deroni 260г,189.98 
Закуска овощная Айвар Deroni 250г,229.98 
Закуска овощная Лютеница крупного помола Deroni 265г,189.98 
Говядина тушеная Кусковая ЭТО 338г,49.99 
Салат с тунцом/кукуруза/овощи Fortuna 160г,219.98 
Салат с тунцом/нут/овощи Fortuna 160г,219.98 
Огурцы соленые кошерные Vegda product 580г,249.98 
Лечо традиционное Janarat 460г,129.98 
Корнишоны маринованные Самбери 370мл,129.67 
