Чипсы Лейз 81г Краб,84.99 
Чипсы Лейз 81г Рифленые Лобстер,84.99 
Чипсы Лейз 81г Сметана Зелень,84.99 
Чипсы Лейз 81г Рифленые Паприка,84.99 
Чипсы Лейз 81г Зеленый Лук,84.99 
Чипсы Лейз 81г с Солью,84.99 
Чипсы Читос кетчуп 50г,59.99 
Чипсы Принглс 165г Итальянский сыр Черный перец,249.88 
Чипсы Лейз 81г Белые Грибы со Сметаной,84.99 
Чипсы Лейз 81г  Сыр,84.99 
Чипсы Лейз 81г Бекон,84.99 
Чипсы Принглс 165г Ветчина в медовой глазури,249.88 
"Чипсы Pringles со вкусом запечённого картофеля с розмарином, 165 г",249.88 
Чипсы Smoki Fun! MIX кукурузные кетчуп/чили 150г,169.98 
Чипсы Smoki Fun! MIX кукурузные арахис/чили/хот дог 150г,169.98 
Чипсы Помстикс картофельная соломка 100г,89.99 
Арахис Wasabi с хреном васаби 100г,239.98 
Чипсы SeiYo барбекю 110г,129.99 
Кальмар кольца КитОпт солено/вяленые 100г,144.69 
Рыбка янтарная солено-сушеная с перцем Донской рыбокомбинат,819.99 
Кальмар стружка солено-вяленая КитОпт 100г,144.69 
Чипсы SeiYo томат 45г,79.99 
Чипсы SeiYo чили 45г,79.99 
Чипсы SeiYo барбекю 45г,79.99 
Кальмар солено-сушеная стружка Донской рыбокомбинат,1199.78 
Бобы Золотой Боб жареные с морской солью 150г,99.97 
Арахис жареный соленый Mogyi 85г,69.96 
Семечки подсолнечника очищенные жареные соленые Mogyi 50г,44.96 
Смесь Снек Микс Вайн Mogyi 80г,148.96 
Миндаль жареный соленый Mogyi 70г,137.96 
Смесь Снек Микс Бир Mogyi 80г,148.96 
Арахис солёный жареный Beerka 90г,54.96 
Арахис соленый жареный Beerka 30г,19.98 
Сухарики 3 корочки курица/соус терияки 60г,49.96 
Сухарики Три корочки малосольные огурцы/соус тар-тар 60г,49.96 
Минтай вяленый филе Дальпико 50г,99.77 
Чипсы Lay's STIX Чеддер 65г,78.98 
Кешью жареный соленый Mogyi 70г,184.96 
Фисташки жареные соленые Mogyi 60г,168.96 
Чипсы Binggrae краб 130г,119.98 
Смесь Арахис Tong Garden анчоус 30г,64.87 
Бобы Tong Garden Закуска для вечеринки 40г,64.87 
Чипсы SeiYo сыр 45г,79.99 
Чипсы SeiYo сметана/лук 45г,79.99 
Чипсы SeiYo оригинальные 45г,79.99 
Чипсы SeiYo сметана/лук 110г,129.99 
Чипсы SeiYo сыр 110г,129.99 
Чипсы SeiYo оригинальные 110г,129.99 
Чипсы Mix хрустящие палочки острая курица 60г,79.99 
Чипсы Чидо палочки кукурузные острый сыр 40г,87.97 
Чипсы Чидо палочки кукурузные креветка 40г,87.97 
Чипсы Mix хрустящие палочки с морскими водорослями 60г,79.99 
Дымчики оригинальные полусухие 90г,87.96 
Колбаски Пиколини сырокопченые со вкусом бекона 50г,87.96 
Колбаски Пиколини сырокопченые со вкусом Хамона 50г,87.96 
Колбаски Пиколини сырокопченые со вкусом чеснока 50г,87.96 
Чипсы Lay's Stax Пикантная паприка 140г,189.99 
Чипсы Lay's Stax королевский краб 140г,189.99 
Чипсы Naturals соус песто 100г,178.96 
Чипсы Кранчипс рифленые сливочная паприка 110г,149.77 
Чипсы Кранчипс рифленые перец халапеньо и сыр 110г,149.77 
Чипсы мясные Дымов Классические свинина 25г,87.96 
Чипсы мясные Дымов индейка/черный перец 25г,87.96 
Чипсы Binggrae луковые кольца 50г,58.87 
Сухари ржаные Клины со вкусом копченой колбаски 40г,18.98 
