Бисквит Чоко Пай Дарк Карамель 12 шт 360г Орион,267.98 
Батончик Фрутилад вишня в шоколаде 40г,49.98 
Батончик марципановый Belmarzipan 40г Центис,99.99 
Шоколад Бушерон горький с коньяком 100г,369.99 
Шоколад Мерси Extra Nut молочный Миндаль 100г,269.99 
Шоколад Мерси Extra Nut молочный Лесной орех 100г,269.99 
Батончик Фрутилад KIDS банан/клубника 25г,49.98 
Печенье слоеное глазированное 135г Marini,169.98 
Палочки сдобные Дарлетто Снежка с земляникой 308г,169.78 
Палочки сдобные Дарлетто Снежка с абрикосом 308г,169.78 
Печенье бисквитное Савоярди 200г,169.98 
Мармелад С апельсином Приморский Кондитер,449.99 
Темный Шоколад с вафельной крошкой Приморский кондитер  100 г,749.99 
Шоколад молочный Nesquik печенье 95г,129.99 
Десерт Бонжур имбирный пряник 232г,139.89 
Мармелад с сахарной посыпкой LOC Keyzz Jouy & Co  225г,129.99 
Мармелад Ягодный 225г Jouy & Co,129.99 
Попкорн POP в сливочной ириске с миндалем 212г,249.99 
Попкорн POP молочный шоколад и соленая карамель 212г,249.99 
Попкорн POP Чикаго 113г,149.99 
Попкорн POP шоколад и морская соль 100г,149.99 
Попкорн POP с сыром пармезан и чесноком 56г,119.99 
Конфеты Метеоритный дождь Нальчик-сладость,499.99 
Сырок глаз 18% 30г вареная сгущенка Серышевский,34.99 
Жевательная резинка Dirol Х-Fresh Черника цитрус 22г,54.99 
"Конфеты Halls мята и ментол 12,5г",59.99 
"Конфеты Halls со вкусом ягод 12,5г",59.99 
Леденцы Halls Оригинальный 25г,47.99 
Паста шоколадно-ореховая манго маракуйя Carna Le Vale 250г,158.98 
Крекер Любятово янтарный с солью 204г,104.79 
Крекер Любятово янтарный с сыром 204г,104.79 
Шоколад темный Pergale манго 100г,109.99 
Шоколад темный Pergale трюфель 100г,109.99 
Шоколад темный Pergale малина 93г,109.99 
Шоколад темный Pergale 100г,109.99 
Шоколад молочный Pergale лесные ягоды 100г,109.99 
Шоколад темный Pergale апельсин 100г,109.99 
Шоколад молочный Alpen Gold Орео и арахисовая паста 90г,79.99 
Шоколад темный Ферреро Роше фундук 90г,264.99 
Конфеты шоколадные Tasty грецкий орех/карамель 150г,219.99 
Конфеты шоколадные Tasty кранч 150г,209.99 
Конфеты шоколадные Tasty со вкусом ликера Бейлис 150г,209.99 
Конфеты шоколадные Tasty со вкусом тирамису 150г,209.99 
Конфеты шоколадные Tasty кокосовая стружка 150г,209.99 
Конфеты шоколадные Tasty макадамия/карамель 150г,399.99 
Конфеты шоколадные Tasty пекан/карамель 150г,299.99 
Конфеты шоколадные Tasty миндаль/карамель 150г,249.99 
Шоколад темный Dark Cherry вишня/клубника/миндаль 100г,169.89 
Шоколад темный Orange цедра лимона/апельсина 100г,129.89 
Печенье Annalù GranTortina Какао и Апельсин 198г,99.99 
Крекер Tuc с сыром 100г,99.79 
Шоколад Бабаевский темнный карамель криспи/кешью 100г,209.99 
Шоколад молочный Strawberry клубника/черника 100г,129.89 
Шоколад молочный Salt соль фундук Simbirsk Atelier 100г,129.89 
"Шоколад темный Dark 54,1% Simbirsk Atelier 100г",129.89 
Конфеты Мерси Black&White 240г,269.99 
Драже M&M's с арахисом 80г,114.99 
Конфеты Fruittella mini мультипак 88г,124.99 
Драже Tic Tac Арбузный Микс 16г,64.99 
Конфеты Snickers белый арахис карамель/нуга,699.99 
Шоколад Аленка Сладкая мозаика разноцветное драже 90г,129.99 
Шоколад Россия Щедрая душа темный с миндалем 82г,129.99 
Печенье сдобное Софийка с кунжутом 250г,119.69 
Шоколад Raffaello ананас/миндаль 90г,264.99 
Шоколад Raffaello кокос/миндаль 90г,264.99 
Шоколад Ferrero Rocher лесной орех 90г,264.99 
Шоколад Россия Щедрая душа Кофе с молоком 82г,129.99 
Шоколад молочный Россия Щедрая душа 82г,129.99 
Шоколад молочный Россия Щедрая душа кокос 82г,129.99 
Конфеты Eco Botanica смузи банан/черника 150г,124.99 
Конфеты Груша шоколадная Кремлина,749.99 
Конфеты Бонфетти нуга с арахисом КДВ,199.99 
Конфета Elle шоколад/орех начинка КДВ,549.99 
Конфета Super нуга с карамелью КДВ,199.99 
Зефир мини с ароматом клубники КФ Нева 270г,119.99 
Зефир мини с ароматом ванили КФ Нева 270г,119.99 
Зефир Doni Zefironi ассорти КФ Нева 315г,129.99 
Конфеты глазированные Игристый Ананас желейная начинка КФ Азовская,299.99 
Пастила ваниль кусочки мармелада КФ Нева 500г,199.99 
Попкорн Всегда добрый день карамель 350г,264.99 
Шоколад Milky Way мультипак 4х26г,84.99 
