Булочка Foodcode без глютена гречневая 2х60г,129.99 
Булочка Foodcode без глютена кукурузная 2х60г,129.99 
"Батончик Фитнесс с цельными злаками 23,5г",64.87 
Батончики Умные сладости без глютена кокос 20г,39.98 
Батончики Умные сладости б/глютен лесная ягода 20г,39.98 
Батончики Умные сладости без глютена шоколадная глазурь 20г,39.98 
Батончики Умные сладости без глютен белая глазурь 20г,39.98 
Пастила без сахара Белевская классическая 50г,64.99 
Пастила без сахара Белевская клюква 50г,64.99 
Сироп Петродиет на фруктозе Брусника 250мл,144.99 
Конфеты Петродиет на сорбите желейные 200г,209.97 
Пряники Петродиет на фруктозе абрикос 340г,209.89 
Конфеты Петродиет со стевией батончики какао 200г,249.99 
Пряники Петродиет на фруктозе яблоко 340г,209.89 
Конфеты Петродиет на фруктозе грильяжные 200г,249.99 
Вафли Петродиет на сорбите сливочно ванильные 95г,15 
Вафли Петродиет на фруктозе какао/шоколад 95г,15 
Сухарики без сахара Черника 40г,94.97 
Сухарики без сахара Клюква 40г,94.97 
Батончик ОлЛайт клубника 30г,44.89 
Батончик ОлЛайт шоколад кокос 30г,44.89 
Батончик ОлЛайт клюква 30г,44.89 
Чипсы Rice Up! бурый рис сметана/лук 60г,119.87 
Сироп Петродиет на фруктозе Клюква 250г,144.99 
Сироп Петродиет на фруктозе Черника 250г,144.99 
Печенье неглазированное Вишня Bombbar 40г,89.98 
Печенье протеиновое глазированное Chikalab Арахис 60г,159.99 
Батончик глазированный Snaq Fabriq Кокос 40г,79.99 
Батончик протеиновый глазированный Chikalab Тирамису 60г,164.99 
Батончик протеиновый глазированный Chikalab Хрустящее печенье 60г,164.99 
Батончик протеиновый глазированный Chikalab Кокос 60г,164.99 
Печенье протеиновое глазированное Chikalab Шоколад 60г,159.99 
Печенье протеиновое глазированное Chikalab Кокос 60г,159.99 
Батончик глазированный Snaq Fabriq Ананас 40г,79.99 
Батончик глазированный Snaq Fabriq Манго/маракуйя 40г,79.99 
Батончик протеиновый глазированный Chikalab Фисташковый крем 60г,164.99 
Батончик протеиновый Bombbar Кокос 60г,154.96 
Батончик протеиновый глазированный Chikalab Клубника со сливками 60г,164.99 
Батончик протеиновый Bombbar Арахис 60г,154.96 
Батончик протеиновый глазированный Chikalab Арахис 60г,164.99 
Батончик глазированный Bombbar Фундучное пралине 40г,99.98 
Батончик глазированный Bombbar Банановый пудинг 40г,99.98 
Батончик глазированный Bombbar Малиновый сорбет 40г,99.98 
Батончик глазированный Bombbar Кокосовый торт 40г,99.98 
Конфитюр без сахара Slim Dream маракуйя 300г,249.96 
Конфитюр без сахара Slim Dream лесные ягоды 300г,227.78 
Конфитюр без сахара Slim Dream клубника-земляника 300г,249.96 
Конфитюр без сахара Slim Dream манго 300г,249.96 
Конфитюр без сахара Slim Dream апельсин 300г,249.96 
Конфитюр без сахара Slim Dream вишня 300г,249.99 
Конфеты Бон желе на фруктозе карамель 190г,154.87 
Отруби овсянные Здоровое меню 200г,54.88 
Отруби пшеничные Здоровое меню 200г,54.88 
Крем-суп Bionova протеиновый сырный 20г,64.99 
Крем-суп Bionova протеиновый томатный 20г,64.99 
Крем-суп Bionova протеиновый шпинат 20г,64.99 
Крем-суп Bionova протеиновый тыква 20г,64.99 
Каша Bionova без сахара овсяная семена чиа протеин 40г,47.88 
Хлебцы овсяные Здоровое Меню 90г,34.96 
Хлебцы многозерновые Здоровое меню 90г,34.96 
Батончик ОлЛайт арахис 30г,44.89 
Батончик злаковый BE-KIND малина 30г,64.77 
Печенье Zerole без сахара Lazzaroni 250г,169.89 
Конфеты Двойняшки-неженки фруктоза 190г,144.97 
Конфеты Двойняшки-лакомки фруктоза суфле/мармелад 190г,50 
Пирожное Protein Rex Брауни 50г,134.96 
Батончик Be-Kind орехи/горький шоколад/морская соль 30г,129.87 
Батончик Be-Kind миндаль/соль/карамель 30г,129.87 
Батончик Be-Kind морская соль/мед 30г,129.87 
Батончик Be-Kind миндаль/кокос/мед 30г,129.87 
Хлеб вафельный ржано-овсяный Елизавета 90г,54.98 
