Опрыскиватель пластик 1л Idea,174.96 
Агроперлит Скорая помощь 2л,69.96 
Набор для выращивания зелени Брюква,159.96 
Дренаж керамзит Бона Агро 2л,67.97 
"Шпагат льняной упаковочный 150мх1,5мм",89.96 
Перчатки садовые нитриловые Обливные рМ Pumpkin,139.96 
Перчатки садовые полиуретановое покрытие рМ Pumpkin,139.96 
Ловушка от тараканов Тайга клеевая,69.98 
"Субстрат Туф вулканический 0,5кг",99.96 
"Субстрат Кактус PROF 2,5л",149.96 
"Субстрат Орхидея PROF 2,5л",149.96 
Субстрат уголь древесный Florizel 2л,85.98 
Шнур хозяйственный вязанный 20мх3мм цветной,69.96 
Шнур хозяйственный вязанный 10мх3мм белый,24.96 
"Лейка пластик М-пластика 1,5л",199.98 
"Набор для выращивания Вырасти, дерево! Пряные травы",229.96 
Перчатки садовые хлопок размер M,189.96 
Аэрозоль от резистентных тараканов Раптор 430мл,499.96 
Система ликвидации тараканов Раптор гель + 4ловушки,289.89 
Шпагат полипропиленовый 100м,104.96 
Шпагат джутовый 100м,104.96 
Удобрение для орхидей Бона Форте Здоровье 285мл,147.88 
Триггер для бутылки,54.96 
Шпагат полипропиленовый 50м,49.96 
Удобрение универсальное Добрая Сила 250мл,88.96 
Удобрение для декоративно-цветущих растений Добрая Сила 250мл,88.96 
Удобрение для комнатных растений Бона Форте Красота 285мл,147.88 
Удобрение для орхидей Бона Форте Красота 285мл,147.88 
Удобрение для декоративно-лиственных растений Бона Форте 285мл,147.88 
Удобрение для декоративно-лиственных растений Добрая Сила 250мл,88.96 
Удобрение для комнатных растений Бона Форте Здоровье 285мл,147.88 
Удобрение для цветущих растений Биона 25г,21.98 
"Распылитель ручной 0,5л",119.96 
Перчатки садовые ХБ белые 10 класс 60г Супер Мастер,59.98 
Перчатки садовые ХБ черные 10 класс Тигр Лайт,41.98 
Зерно от крыс/мышей Чистый дом Экстра 200г,39.69 
Перчатки белые ХБ 7 класс 26г Народные,31.89 
Перчатки садовые ХБ белые 10 класс 40г 10шт,259.98 
Перчатки черные ХБ 10 класс 40г Стандарт,41.79 
Перчатки садовые нейлон цветные 13кл 25г точка,65.89 
Перчатки садовые ХБ черные 10 класс 80г двойные,69.98 
Подвеска от моли Raid Антимоль Весенние цветы 4шт,94.88 
Пластины от моли Армоль 10шт,69.98 
Подвеска от моли Раптор Лаванда подвеска картон,59.98 
Аэрозоль от моли Армоль 140см3,149.98 
Гель от тараканов муравьев Раптор 75мл,249.77 
Клей от грызунов/насекомых Чистый дом 130г,139.77 
Аэрозоль от ползающих насекомых Раптор 350мл,299.89 
Ловушка от тараканов Раптор 6шт,259.89 
Аэрозоль от тараканов и муравьев Raid Max 300мл,349.96 
Мелок от тараканов Чистый дом без запаха,29.98 
Подвеска от моли Раптор Мандарин подвеска картон,59.98 
Секция защита от моли Раптор без запаха,89.96 
Приманка от тараканов Raid Max Регулятор размножения,289.89 
Шарики от моли Чистый дом Антимоль 40г,69.97 
Ловушка от тараканов/муравьев Чистый дом Инсектицидная 6шт,129.97 
Гель от тараканов-муравьев Чистый дом шприц 20г,64.98 
Аэрозоль от ползающих насекомых Чистый дом Супер универсальный 600мл,399.97 
