"Десерт творожный мама лама 125 г 5, 7% с бананом",75.99 
"Десерт Мама Лама 5,7% 125г малина/пломбир",75.99 
Десерт Ф Teens яблоко/банан/апельсин/манго 90г,74.98 
"Биойогурт Активиа вишня-яблоко-малина без сахара 2,9% 150 г",77.99 
"Биолакт Тема 3,0% 206г груша яблоко",69.99 
"Биойогурт BioMax 2,9% гранулы фисташки клубника 105г",89.99 
"Биойогурт АКТИВИА Черника, злаки, семена льна 2,9% 130г",64.99 
"Биойогурт АКТИВИА Клубника, яблоко, питахайя 2,9% 130г",77.99 
"Биойогурт Активиа 3,5% 130г натуральный",64.99 
"Биойогурт Активиа 2,9% 130г чернослив",64.99 
"Биойогурт Активиа 2,9% 130г груша черника",77.99 
Мороженое Пломбир ванильный BURENKA CLUB 80г стакан,69.99 
"Масло несоленое Брест-Литовское 82,5% 400г",459.99 
Сырок глазированный 18% ваниль Серышевский 30г,34.99 
"Творог Растишка 3,5% банан 95г",62.99 
Десерт соевый глазированый Александров в темном шоколаде ваниль 50г,115.99 
"Сырок Свитлогорье Золотая ириска, творожный, глазированный, в карамельной глазури 23%, 50 г",74.99 
"Масло сливочное LAIME Традиционное 82,5 180г",197.99 
"Масло сливочное Крестьянское 72,5% 200г Молочный край",159.98 
Йогурт Epica Crispy Кокосовое печенье с клубникой шоколадом и миндалем 7.3% 138 г,139.99 
Масло Брест-Литовск кислосливочное солёное 82.5% 180 г,207.98 
"Десерт творожный Чудо 4,2% вишня 100г",94.99 
"Творожный продукт Даниссимо 5,8% банан/карамель/кофе 130г",87.99 
"Творожный продукт Даниссимо 5,6% абрикос/ваниль 130г",87.99 
"Творожный продукт Даниссимо 5,7% заварной крем/слива 130г",87.99 
"Десерт творожный Чудо 4,2% малина/ежевика 100г",94.99 
Творог зерненый Простоквашино натуральный 5% 130г,114.99 
Десерт Картошка цельнозерновая в молочном шоколаде 60г,131.99 
Десерт Картошка безглютеновая в молочном шоколаде 60г,131.99 
Сырок глазированный Простоквашино карамель 40г,57.99 
Сливки питьевые стерилизованные Белый город 10% 500г,139.99 
"Сливки питьевые Parmalat 11% 0,5л",157.99 
"Коктейль молочная Азбука молока 1,5% карамель 0,2л",38.99 
"Закваска Свой йогурт ряженка 2х0,5г",179.99 
"Закваска Свой йогурт Биолакт 2х0,5г",179.99 
"Закваска Свой йогурт кефир 2х0,5г",179.99 
"Закваска Свой йогурт простокваша 2х0,5г",179.99 
"Коктейль молочный Белый город 1,5% черника 0,2л",47.99 
"Коктейль молочный Белый город 1,5% клубника 0,2л",47.99 
"Коктейль молочный Белый город 1,5% ваниль 0,2л",47.99 
"Йогурт питьевой Чудо 2,4% персик/манго/дыня 290г",79.99 
"Молоко ультрапастеризованное безлактозное Parmalat 3,5% 1л",189.99 
"Йогурт Даниссимо Фантазия 6,9% хрустящие шарики/абрикос 105г",84.99 
Йогурт Чудо Десерт 3% драже/шоколад/печенье 105г,87.99 
Йогурт Чудо Десерт 3% кокос/шарики/печенье 105г,87.99 
"Молоко стерелизованное Домик в деревне 2,5% 950г",139.99 
"Масло Крестьянское сливочное Эконива 72,5% 180г",187.98 
"Масло сладкосливочное несоленое Брест-Литовск 82,5% 120г",137.99 
Сырок глазированный Творобушки 21% карамелика 150г,159.99 
"Творог Растишка 3,5% клубника/банан с печеньем 108г",94.99 
"Продукт кисломолочный Actimel 2,5% ягодный микс 100г",54.99 
Биойогурт питьевой Bio Баланс гранат 1% 270г,79.99 
Биойогурт питьевой Bio Баланс 1% вишня/черешня 270г,79.99 
"Биойогурт питьевой Активиа 2,1% черника/5 злаков/семена льна 260г",99.99 
"Продукт кисломолочный ISEY SKYR 1,2% черника 140г",107.99 
"Напиток кисломолочный Имунеле 1,5% яблоко/малина/шелковица 100г",39.99 
"Напиток кисломолочный Имунеле 1,5% яблоко/голубика/манго 100г",39.99 
"Йогурт питьевой Растишка 2,8% манго/банан/персик 190г",107.99 
"Продукт кисломолочный ISEY SKYR 1,2% персик 140г",107.99 
Десерт Lesnika клюква 140г,44.99 
Десерт Lesnika облепиха 140г,44.99 
"Ряженка питьевая Агуша 3,2% клубника 180г",59.99 
"Ряженка питьевая Агуша 3,2% классическая 180г",59.99 
Масло топленое ГХИ 99% Беловежские сыры 200г,499.98 
"Молоко сгущенное цельное с сахаром Рогачевъ ГОСТ 8,5% 270г",118.98 
"Напиток кисломолочный Биолакт Агуша 3,2% 180г",29.99 
"Биойогурт с творогом Активиа 3,5% чернослив/инжир/изюм 135г",89.99 
"Йогурт питьевой Агуша 2,7% клубника/банан 180г",59.99 
"Йогурт питьевой Агуша Засыпайка 2,7% зеленое яблоко/мелисса 180г",59.99 
"Йогурт питьевой Агуша 2,7% яблоко/груша 180г",59.99 
Продукт овсяный YO'GURT Nemoloko груша/овсяные хлопья 130г,69.99 
Продукт овсяный YO'GURT Nemoloko классический 130г,69.99 
Продукт овсяный YO'GURT Nemoloko яблоко/овсяные хлопья 130г,69.99 
Продукт овсяный YO'GURT Nemoloko персик 130г,69.99 
Продукт овсяный YO'GURT Nemoloko манго/маракуйя 130г,69.99 
Продукт овсяный YO'GURT Nemoloko вишня 130г,69.99 
Тофу Оригинальный 400г,139.89 
"Кефир ГринАгро 1% 0,5л",68.99 
"Йогурт греческий Серышевский МК 1,5% 200г",54.99 
"Йогурт питьевой Эпика 2,5% вишня/банан 260г",119.99 
"Йогурт питьевой Эпика 2,9% натуральный 260г",119.99 
"Йогурт питьевой Эпика 2,5% манго 260г",119.99 
Масло топленое President 99% 170г,317.97 
Коктейль молочный Растишка 2% карамельная ириска 210г,74.99 
"Коктейль молочный ультрапастеризованный безлактозный Пармалат 1,5% капучино 500мл",118.99 
"Напиток овсяный Nemoloko 3,2% ваниль 1л",119.99 
Спред растительно-жировой Рама Сливочная 75% 250г,174.97 
Пудинг фруктовый RICO дыня 410г,189.99 
Пудинг фруктовый RICO манго 410г,189.99 
Пудинг фруктовый RICO мангостин 3х65г,134.99 
Пудинг фруктовый RICO кокос 3х65г,134.99 
Пудинг фруктовый RICO клубника/личи/манго 3х65г,109.99 
"Йогурт Греческий Чернореченский СПЖК 2,5% 200г",81.99 
"Масло сливочное La Paulina 82,5% 180г",199.99 
Творог Молочные горки 5% 350г,188.99 
Творог Молочные горки 9% 350г,198.99 
Творог Простоквашино 5% 200г,143.99 
Творог Простоквашино 2% 200г,99.99 
Сметана Молочные горки 20% 180г,84.99 
Сметана Молочные горки 15% 180г,74.99 
Молочко кедровое Сава лайт 500мл,319.99 
Коктейль молочный Растишка 2% бабл гам 210г,74.99 
Молочко кедровое Сава фундук/миндаль 200мл,189.99 
"Кефир ГринАгро 3,2% 1л",139.99 
Творог мягкий Вкуснотеево 5% 175г,119.99 
Творог Вкуснотеево 9% 300г,249.99 
Творог мягкий Вкуснотеево 5% с изюмом 175г,141.99 
Кефир ГринАгро 1% 1л,115.98 
Сметана Вкуснотеево 20% 150г,109.99 
"Йогурт вязкий Вкуснотеево 3,5% клубника 140г",99.99 
"Йогурт питьевой Нежный возраст 1,5% черника 200г",87.99 
"Йогурт вязкий Вкуснотеево 3,5% черника 140г",99.99 
Творог ГринАгро 9% 230г,149.99 
"Напиток кисломолочный Айран Молочные горки 1,5% с солью 220г",74.99 
Творог Савушкин хуторок 9% 200г,119.99 
Творог Савушкин хуторок 5% 200г,114.99 
Творог Савушкин хуторок 1% 200г,107.99 
"Напиток овсяный Nemoloko зеленый чай 0,25л",54.99 
Напиток овсяный Nemoloko кофе 1л,119.99 
Напиток овсяный Nemoloko зеленый чай 1л,119.99 
Сметана Фермерское подворье 20% 400г,119.99 
"Йогурт Даниссимо Фантазия 6,9% манго/маракуйя 105г",84.99 
Творог Свежее завтра 5% 200г,117.99 
"Йогурт питьевой Свежее завтра 1,9% клубника 330г",84.99 
"Йогурт питьевой Свежее завтра 1,9% груша 330г",84.99 
"Йогурт Молочная культура 2,7-3,5% персик/манго/гранола/изюм 215г",154.99 
Творог Хорская бурёнка 5% 250г,134.99 
"Молоко пастеризованное отборное Хорская бурёнка 3,4-6% 1л",110.99 
Творог зерненый Савушкин 101 зерно 5% манго/маракуйя 130г,79.99 
"Десерт творожный Чудо 4,5% грильяж/вишня 100г",79.99 
"Коктейль молочный грильяж Чудо 0,2л",59.99 
"Йогурт питьевой Родимая Сторонка 1,5% печеная груша 300г",74.99 
