Тунец филе в оливковом масле Магуро 200г,239.98 
Закуска Матье сельдь с маринованным луком Рыбный мир,369.98 
Печень трески натуральная БКК 230г,199.98 
"ТРЕСКА АТЛАНТИЧЕСКАЯ СТЕЙК на коже ВкусАрт 0,5кг",349.98 
ПЕРФЕТТО Мидии в масле с ароматом копчения 180г,110 
Риет лососевый с вяленными томатами Лунское море 100г,149.90 
Икра трески Лунское море 250г,249.98 
Риет лососевый Лунское море 100г,80 
Икра минтая Лунское море 250г,249.98 
Икра минтая премиум Лунское море 170г,189.98 
Икра трески премиум Лунское море 170г,199.98 
КНЕЛИ рыбка рубленая с каперсами Лунское Море 125г,80 
Коктейль щупальца кальмара мидии Лунское море 280г,259.98 
КНЕЛИ рыбка рубленая с маринованными огурчиками Лунское Море 125г,80 
Кальмар щупальца в масле Лунское море 180г,179.98 
Чука морские водоросли маринованные 180г,149.98 
Паста икорная Икринка с копченым лососем Санта Бремор 160г,139.98 
Печень трески натуральная Вершина 250г,469.98 
Кальмар Командорский тушка з/м,269.98 
Фарш из кальмара свежемороженый 500г,229.98 
Мидии Самбери 450г,249.98 
Морской коктейль Самбери 450г,249.98 
Сельдь матье в масле Всегда Добрый день 500г,184.99 
Сельдь матье в майонезной заливке Всегда Добрый день 500г,184.99 
Сельдь матье в горчичной заливке Всегда Добрый день 500г,184.99 
Сельдь Матье филе-кусочки в масле Рыбный мир 500г,179.98 
Корюшка вяленая Шкипер Брукк 100г,199.88 
Сельдь Матье филе-кусочки по-сибирски Рыбный мир 220г,109.98 
Солянка из морской капусты с кальмаром Самбери 250г,104.99 
Солянка из морской капусты с кальмаром Самбери 500г,169.99 
Салат из морской капуста по-восточному Самбери 500г,109.99 
Салат из морской капусты с кальмаром Юбилейный Самбери 250г,129.99 
Салат из морской капусты по-восточному Самбери 250г,79.99 
Салат из морской капусты с кальмаром Юбилейный Самбери 500г,219.98 
Креветки Северные Самбери 450г,399.98 
Молоки лососевые 1кг замороженные,249.98 
Салат из морской капусты с кукурузой в майонезной заливке Гранд Марин 180г,39.87 
Морская капуста с луком в майонезном соусе Гранд Марин 180г,44.79 
Салат из морской капусты Юбилейный с кальмаром Гранд Марин 150г,52.90 
Морская капуста лук/крабовые палочки Гранд Марин 180г,49.78 
Салат из морской капусты с сельдью Гранд Марин 150г,44.99 
Салат из морской капусты с кунжутом в соусе Терияки Гранд Марин 150г,49.78 
Мясо краба варено-мороженое Экстра категория Юпитер 500г,3499.98 
Мидия в солевой заливке Дальпико 200г,149.98 
Кальмар в солевой заливке Дальпико 200г,159.98 
Мидии в укропной заливке Рыбный мир 180г,189.98 
Мидии в горчичном соусе Рыбный мир 180г,189.98 
Мидии в ароматизированном масле Рыбный мир 180г,189.98 
Мидии в томатном соусе Рыбный мир 180г,189.98 
Мидии подкопченные Делатос 180г,179.98 
Сельдь Матье в масле с укропом Рыбный мир 250г,109.90 
Минтай филе кубики Самбери,399.99 
Паштет лососевый томат/базилик Меридиан 200г,204.98 
Паштет лососевый сливочный Меридиан 200г,204.98 
Риет из трески семена льна/шпинат/яблоко Меридиан 100г,169.90 
Риет из трески семена чиа/клюква Меридиан 100г,169.90 
Риет из трески семена льна/морковь/горошек Меридиан 100г,169.90 
Мясо краба Кулак 1 категория варено-мороженое 500г,1799.98 
Форель филе ломтики подкопченные Самбери 120г,429.99 
Форель подкопченная филе кусок Самбери 200г,549.99 
Салат из морской капусты с кальмаром Юбилейный Восток Продукт 300г,119.98 
Солянка из морской капусты с кальмаром Восток Продукт 300г,109.98 
Салат из морской капусты с кальмаром Юбилейный Восток Продукт 500г,179.98 
Солянка из морской капусты с кальмаром Восток Продукт 500г,169.98 
Салат из морской капусты по-восточному Восток Продукт 300г,64.98 
Форель филе холодного копчения Рыбный мир,1989.98 
Кальмар командорский сушено-вяленый шинкованный тушка 50г,136.96 
Зубатка Синяя стейк на коже ВкусАрт 800г,349.98 
Пангасиус филе без кожи ВкусАрт 600г,359.98 
Суп Том Ям Делси 400г,509.99 
Мидии с маслинами в томатном соусе Делси 420г,499.99 
Креветки с томатами и молодыми кабачками Делси 450г,499.99 
Икра сельди с ароматом копчения в масле Рыбный мир 220г,139.90 
Салат из сельди Магадан Всегда Добрый День 500г,159.99 
Салат из сельди Магадан Всегда Добрый День 220г,89.99 
Салат Магадан Делатика 220г,99.98 
Сельдь жирная 1 сорт слабосоленая Восток Продукт 1кг,259.98 
Форель филе кусок малосоленая Самбери 200г,549.99 
Камбала сушено-вяленая Рыбный мир 200г,179.90 
Кальмар щупальца сушено-вяленые Рыбный мир 100г,489.98 
Салат Магадан Делатика 500г,179.77 
Кета боковник холодного копчения Иня,1089.98 
Кижуч боковник-кусок холодного копчения Иня,989.98 
Палтус стейк Премиум Самбери,1199.98 
Карамелька из лососевых рыб Рыбный мир,1549.90 
Скумбрия атлантическая кусочки Балтийский Берег 250г,399.98 
Путассу спинка холодного копчения Делси 200г,119.98 
Окунь терпуг холодного копчения Рыбный мир,689.90 
Нерка полупласт филе холодного копчения Рыбный мир,1699.90 
Кальмар сушеный Дальпико Фиш 50г,136.96 
Сибас потрошеный с головой 500г,899.98 
Дорадо потрошеное с головой 500г,899.98 
Форель речная потрошеная с головой 500г,649.98 
Сельдь холодного копчения олюторская Рыбный мир,329.98 
Нерка малосоленая филе-кусок Рыбный мир 200г,399.69 
Семга стейк Премиум Самбери,1799.98 
Камбала вяленая Рыбная компания,849.90 
Трубач Сахалинский филе 500г,849.98 
Корюшка зубатка неразделанная фасованная,499.98 
Тунец филе Саку Самбери,1299.98 
Раки неразделанные варено-мороженые Funny Fish 700г,599.98 
Сельдь филе-кусочки в масле Делатика 200г,94.90 
Сельдь филе-кусочки с ароматом укропа Делатика 200г,94.90 
Сельдь филе-кусочки с ароматом копчения в масле Рыбный мир 250г,109.98 
Икра имитированная черная Полезные продукты 450г,50 
Икра имитированная красная Полезные продукты 450г,119.90 
Сельдь филе-кусочки с ароматом горчицы в масле Рыбный мир 500г,179.98 
Кета филе-ломтики в масле Рыбный мир 200г,279.99 
Соломка сельди сушено-вяленая Иня 100г,79.87 
Палочки рыбные вяленые с перцем Рыбный мир 100г,149.77 
Сельдь малосоленая олюторская Рыбный мир,359.90 
Сельдь провесная олюторская Рыбный мир,359.98 
Сельдь Матье филе-кусочки в горчичной заливке Делатика 200г,94.90 
Крем кальмар Лунское море 180г,98.68 
Крем криль Лунское море 180г,109.98 
Икра палтуса черная Лунское море 90г,449.90 
Икра лососевых рыб имитированная Сокровища океана 200г,49.98 
Икра лососевых рыб имитированная Сокровища океана 450г,79.90 
Икра лососевых рыб слабосоленая имитированная Лунское море 200г,99.90 
Кальмар щупальца/соломка в рассоле Milegrin 415г,539.98 
Котейль из морепродуктов в рассоле Меридиан 270г,354.98 
Мидии в масле с прованскими травами Milegrin 415г,474.98 
Мидии в масле/перец чили Milegrin 415г,474.98 
