Вишня 300г И Зимой И Летом,219.99 
Блины с вишней Мираторг 360г,169.99 
Блины с курицей Мираторг 360г,169.99 
Блины с мясом Мираторг 360г,159.99 
Брусника И Зимой И Летом 300г,209.99 
Мороженое протеиновое без сахара Крем-брюле BOMBBAR 90г стакан,109.99 
Мороженое протеиновое без сахара Бельгийский шоколад BOMBBAR 90г стакан,109.99 
Мороженое Пломбир крем-брюле BURENKA CLUB 400г рулет,309.99 
Мороженое протеиновое без сахара Пломбир BOMBBAR 90г стакан,109.99 
Мороженое протеиновое без сахара солёная карамель/сливки BOMBBAR 150г ведро,199.99 
Мороженое протеиновое без сахара Сочная дыня BOMBBAR 150г ведро,199.99 
Пирог с мясом Ирон Кабис 500г,399.99 
Пирог с картофелем Ирон Кабис 500г,259.99 
Пельмени Мяснушки отборная говядина Ложкарёвъ 850г,349.99 
Пельмени говядина/свинина Ложкарёвъ 900г,409.99 
Пельмени Мяснушки со сливочным маслом Ложкарёвъ 850г,349.99 
Пельмени Мяснушки говядина/свинина Ложкарёвъ 850г,349.99 
Пельмени ПОТЕШКИ мясные подушечки БМК 430г,239.99 
Пельмени Мясные подушечки говядина БМК 430г,229.99 
Пельмени Весёлые индюшата БМК 430г,249.99 
Пельмени Мясные подушечки с кроликом БМК 430г з/м,249.99 
Вареники с чёрной смородиной Уральские пельмени 350г,144.99 
Хинкали по-восточному Ложкарёвъ 900г,419.99 
Котлеты из индейки Ложкарёвъ 400г,179.99 
Хинкали Любимая порция Сальников 800г,314.99 
Чебуреки Аппетитные Ратимир 400г,194.99 
Вареники рикотта шпинат БМК 450г,229.99 
Нечайный чай Безалкогольный глинтвейн Айс Кро 150г,149.99 
Овощной микс Завтрак с томатами Бондюэль 200г,119.99 
Гуакамоле классический Agama Green 150г,497.99 
Овощной микс Завтрак с кабачком Бондюэль 200г,99.99 
Мороженое Попкорн сладко-солёный с карамелью Баскин Роббинс 600г,1099.99 
Мороженое Коровка из Кореновки пломбир шоколадная крошка 400г,319.99 
Пельмени со сливками Сибирская Коллекция 700г,369.99 
Пельмени Сочные Сибирская Коллекция 700г,224.99 
Пельмени с сочным мясом Сытый папа 1кг,389.99 
Пельмени Полный фарш Сытый папа 700г,369.99 
Ананасы кусочками Планета Витаминов,369.99 
Вареник Могучий Русский с творожной начинкой 900г,279.99 
Наггетсы с сыром Петруха 290г,89.99 
Наггетсы Хрустящие Петруха 290г,134.99 
Пельмени Superior Цезарь 700г,329.99 
Пельмени Extra Цезарь 700г,329.99 
Чай облепиховый с имбирем и красной смородиной Hortex 250г,199.99 
Ежевика Master Fruits Сербия 300г,409.99 
Клубника Master Fruits Сербия 300г,299.99 
