Жир курдючный ягненка Мясновичи,389.97
Окорок говяжий без кости Мясоделов,729.79
Корейка свиная Скиф,439.88
Шея свиная Скиф,449.87
Стейк ЧакАйРолл мраморная говядина Праймбиф 400г,999.68
Стейк Топ-Сирлойн мраморная говядина Праймбиф 400г,899.79
Стейк Яблочко мраморная говядина Праймбиф 400г,949.77
Стейк Топ-Блейд мраморная говядина Праймбиф 400г,1269.99
Яйцо куриное С1 20шт Местное,209.99
Бедро куриное Михайловский бройлер охлажденное,269.67
Филе грудки куриное Михайловский бройлер охлажденное,479.88
Говядина для тушения в маринаде Мясо Есть,799.87
Яйцо куриное СО 10шт Местное,109.99
Фарш Классический из свинины и говядины Слово мясника 400г,199.77
Фарш Любительский свиной Слово мясника 400г,189.78
Сердце говяжье з/м фасованное,399.98
Набор для бульона свиной фасованный з/м,79.99
Ребрышки бараньи Эколь,829.77
Баранина для плова Эколь,429.96
Грудинка баранья Эколь,319.77
Шейка баранья Эколь,789.78
Голяшка баранья Эколь,799.97
Фарш Смешанный баранина/говядина Эколь,429.79
Хрящи свиные на кости,149.78
Голень индейки Краснобор,279.98
Филе бедра индейки Краснобор,549.98
Гуляш из говядины Халяль Мясо Есть,919.87
Филе индейки большое Краснобор,469.99
Печень индейки Краснобор,399.99
Крыло индейки плечевая часть Краснобор,219.99
Фарш индюшиный Красноборский 1кг,159.99
Крыло куриное замороженное,249.99
Стейк из шеи свиной без кости Ратимир,599.79
Фарш куриный Домоседка 500г,119.79
Эскалоп свиной без кости Ратимир,469.98
Цыпленок 1 сорт Михайловский бройлер,227.99
Набор для супа куриный Михайловский бройлер подложка,139.68
Шницель из индейки Индилайт 1кг,599.89
Яйцо куриное С0 15шт Птицефабрика Заря,89.99
Окорочок утенка Озерка лоток,529.99
Тушка утенка 1с Озерка,329.67
Курица суповая 2 категория пакет ПФ Комсомольская,99.98
Стейк Паризьен из мраморной говядины Black Angus Мираторг 290г,569.89
Набор для бульона говяжий Халяль Мясо Есть,139.98
Рагу баранье Халяль Мясо Есть,149.79
Цыпленок 1с Байсад фирменный пакет,239.98
Фарш куриный Карина 500г,179.89
Цыпленок 1 сорт Михайловский бройлер подложка,289.88
Стейк Топ Блейд мраморная говядина Black Angus Мираторг 460г,1099.98
Яйцо куриное С0 Ромашковое поле 15шт,147.99
Мякоть лопатки без кости мраморная говядина Праймбиф 700г,979.98
Стейк Минутка мраморная говядина Праймбиф 400г,749.99
Ребрышки свиные Деликатесные Мираторг,489.98
Шеи цыпленка-бройлера Амурский бройлер 1кг,129.68
